Country,Population,Birthrate,Deathrate,Region
Somalia,8863338,45.13,16.63,SUB-SAHARAN AFRICA
South Africa,44187637,18.2,22,SUB-SAHARAN AFRICA
Spain,40397842,10.06,9.72,WESTERN EUROPE
Sri Lanka,20222240,15.51,6.52,ASIA (EX. NEAR EAST)
Sudan,41236378,34.53,8.97,SUB-SAHARAN AFRICA
Suriname,439117,18.02,7.27,LATIN AMER. & CARIB
Swaziland,1136334,27.41,29.74,SUB-SAHARAN AFRICA
Sweden,9016596,10.27,10.31,WESTERN EUROPE
Switzerland,7523934,9.71,8.49,WESTERN EUROPE
Syria,18881361,27.76,4.81,NEAR EAST
Taiwan,23036087,12.56,6.48,ASIA (EX. NEAR EAST)
Tajikistan,7320815,32.65,8.25,C.W. OF IND. STATES
Tanzania,37445392,37.71,16.39,SUB-SAHARAN AFRICA
Thailand,64631595,13.87,7.04,ASIA (EX. NEAR EAST)
Togo,5548702,37.01,9.83,SUB-SAHARAN AFRICA
Tonga,114689,25.37,5.28,OCEANIA
Trinidad & Tobago,1065842,12.9,10.57,LATIN AMER. & CARIB
Tunisia,10175014,15.52,5.13,NORTHERN AFRICA
Turkey,70413958,16.62,5.97,NEAR EAST
Turkmenistan,5042920,27.61,8.6,C.W. OF IND. STATES
Turks & Caicos Is,21152,21.84,4.21,LATIN AMER. & CARIB
Tuvalu,11810,22.18,7.11,OCEANIA
Uganda,28195754,47.35,12.24,SUB-SAHARAN AFRICA
Ukraine,46710816,8.82,14.39,C.W. OF IND. STATES
United Arab Emirates,2602713,18.96,4.4,NEAR EAST
United Kingdom,60609153,10.71,10.13,WESTERN EUROPE
United States of America,298444215,14.14,8.26,NORTHERN AMERICA
Uruguay,3431932,13.91,9.05,LATIN AMER. & CARIB
Uzbekistan,27307134,26.36,7.84,C.W. OF IND. STATES
Vanuatu,208869,22.72,7.82,OCEANIA
Venezuela,25730435,18.71,4.92,LATIN AMER. & CARIB
Vietnam,84402966,16.86,6.22,ASIA (EX. NEAR EAST)
Virgin Islands,108605,13.96,6.43,LATIN AMER. & CARIB
West Bank,2460492,31.67,3.92,NEAR EAST
Yemen,21456188,42.89,8.3,NEAR EAST
Zambia,11502010,41,19.93,SUB-SAHARAN AFRICA
Zimbabwe,12236805,28.01,21.84,SUB-SAHARAN AFRICA
